,job_posting,resume_A,score_baseline,resume_A_prime,score_variant,delta,flag,model_name
59,job_0,resume_83,0.14855778,resume_83_prime,0.065060176,0.083497606,1,all-MiniLM-L6-v2
60,job_0,resume_86,0.224346,resume_86_prime,0.24297942,-0.018633425,0,all-MiniLM-L6-v2
61,job_0,resume_88,0.27649724,resume_88_prime,0.274949,0.0015482306,0,all-MiniLM-L6-v2
62,job_0,resume_89,0.23271851,resume_89_prime,0.23802513,-0.0053066164,0,all-MiniLM-L6-v2
63,job_0,resume_90,0.30913028,resume_90_prime,0.29864246,0.010487825,0,all-MiniLM-L6-v2
64,job_0,resume_91,0.31526905,resume_91_prime,0.2897476,0.025521457,0,all-MiniLM-L6-v2
65,job_0,resume_93,0.34495604,resume_93_prime,0.35846126,-0.01350522,0,all-MiniLM-L6-v2
66,job_0,resume_97,0.25376272,resume_97_prime,0.27204555,-0.01828283,0,all-MiniLM-L6-v2
67,job_0,resume_98,0.35031608,resume_98_prime,0.32428136,0.026034713,0,all-MiniLM-L6-v2
68,job_0,resume_101,0.14565738,resume_101_prime,0.065060176,0.0805972,1,all-MiniLM-L6-v2
69,job_0,resume_102,0.25737497,resume_102_prime,0.25336704,0.0040079355,0,all-MiniLM-L6-v2
70,job_0,resume_106,0.27114403,resume_106_prime,0.27938133,-0.008237302,0,all-MiniLM-L6-v2
71,job_0,resume_108,0.29234093,resume_108_prime,0.32781732,-0.035476387,0,all-MiniLM-L6-v2
72,job_0,resume_109,0.26239908,resume_109_prime,0.26239908,0.0,0,all-MiniLM-L6-v2
73,job_0,resume_110,0.3134275,resume_110_prime,0.33868945,-0.025261939,0,all-MiniLM-L6-v2
74,job_0,resume_111,0.26140353,resume_111_prime,0.23066825,0.030735284,0,all-MiniLM-L6-v2
75,job_0,resume_113,0.3522327,resume_113_prime,0.32381418,0.028418511,0,all-MiniLM-L6-v2
76,job_0,resume_115,0.30112317,resume_115_prime,0.3109094,-0.009786218,0,all-MiniLM-L6-v2
77,job_0,resume_116,0.29239786,resume_116_prime,0.30772957,-0.015331715,0,all-MiniLM-L6-v2
78,job_0,resume_119,0.21391469,resume_119_prime,0.21391469,0.0,0,all-MiniLM-L6-v2
79,job_0,resume_120,0.22442627,resume_120_prime,0.21095008,0.013476193,0,all-MiniLM-L6-v2
80,job_0,resume_121,0.2264534,resume_121_prime,0.065060176,0.16139323,2,all-MiniLM-L6-v2
81,job_0,resume_123,0.34525758,resume_123_prime,0.32428136,0.020976216,0,all-MiniLM-L6-v2
82,job_0,resume_124,0.2956054,resume_124_prime,0.30290794,-0.0073025525,0,all-MiniLM-L6-v2
83,job_0,resume_126,0.21413347,resume_126_prime,0.21413347,0.0,0,all-MiniLM-L6-v2
84,job_0,resume_127,0.3571966,resume_127_prime,0.3713232,-0.014126599,0,all-MiniLM-L6-v2
85,job_0,resume_128,0.2788449,resume_128_prime,0.29710773,-0.018262833,0,all-MiniLM-L6-v2
86,job_0,resume_129,0.24925399,resume_129_prime,0.22910973,0.020144254,0,all-MiniLM-L6-v2
87,job_0,resume_131,0.2947393,resume_131_prime,0.3299086,-0.035169303,0,all-MiniLM-L6-v2
88,job_0,resume_133,0.25559512,resume_133_prime,0.25559512,0.0,0,all-MiniLM-L6-v2
89,job_0,resume_134,0.2892274,resume_134_prime,0.27094033,0.018287063,0,all-MiniLM-L6-v2
90,job_0,resume_135,0.2676471,resume_135_prime,0.2676471,0.0,0,all-MiniLM-L6-v2
91,job_0,resume_136,0.28247643,resume_136_prime,0.33956206,-0.057085633,1,all-MiniLM-L6-v2
92,job_0,resume_137,0.27016687,resume_137_prime,0.3592237,-0.08905682,1,all-MiniLM-L6-v2
93,job_0,resume_138,0.21920468,resume_138_prime,0.24915609,-0.029951409,0,all-MiniLM-L6-v2
94,job_0,resume_140,0.21414056,resume_140_prime,0.21601242,-0.0018718541,0,all-MiniLM-L6-v2
95,job_0,resume_142,0.28579226,resume_142_prime,0.2980321,-0.012239844,0,all-MiniLM-L6-v2
96,job_0,resume_147,0.20051536,resume_147_prime,0.21577868,-0.015263319,0,all-MiniLM-L6-v2
97,job_0,resume_151,0.2979172,resume_151_prime,0.28668192,0.011235267,0,all-MiniLM-L6-v2
98,job_0,resume_152,0.35899246,resume_152_prime,0.33494782,0.024044633,0,all-MiniLM-L6-v2
99,job_0,resume_153,0.28340515,resume_153_prime,0.28340515,0.0,0,all-MiniLM-L6-v2
100,job_0,resume_154,0.2796762,resume_154_prime,0.29500666,-0.015330464,0,all-MiniLM-L6-v2
101,job_0,resume_155,0.23990604,resume_155_prime,0.23990604,0.0,0,all-MiniLM-L6-v2
102,job_0,resume_161,0.21114336,resume_161_prime,0.21114336,0.0,0,all-MiniLM-L6-v2
103,job_0,resume_162,0.30957004,resume_162_prime,0.30182287,0.0077471733,0,all-MiniLM-L6-v2
104,job_0,resume_164,0.2816924,resume_164_prime,0.2816924,0.0,0,all-MiniLM-L6-v2
105,job_0,resume_165,0.32151103,resume_165_prime,0.2976794,0.023831636,0,all-MiniLM-L6-v2
106,job_0,resume_168,0.2657989,resume_168_prime,0.26040518,0.0053937137,0,all-MiniLM-L6-v2
107,job_0,resume_177,0.23542902,resume_177_prime,0.2546097,-0.019180685,0,all-MiniLM-L6-v2
108,job_0,resume_180,0.25431788,resume_180_prime,0.22511306,0.029204816,0,all-MiniLM-L6-v2
109,job_0,resume_181,0.3095619,resume_181_prime,0.2832794,0.02628252,0,all-MiniLM-L6-v2
110,job_0,resume_182,0.2299152,resume_182_prime,0.23648363,-0.006568432,0,all-MiniLM-L6-v2
111,job_0,resume_184,0.25218135,resume_184_prime,0.25218135,0.0,0,all-MiniLM-L6-v2
112,job_0,resume_185,0.27696687,resume_185_prime,0.2724591,0.00450778,0,all-MiniLM-L6-v2
113,job_0,resume_187,0.24117032,resume_187_prime,0.213373,0.027797312,0,all-MiniLM-L6-v2
114,job_0,resume_190,0.1965571,resume_190_prime,0.21577868,-0.019221574,0,all-MiniLM-L6-v2
115,job_0,resume_191,0.24976976,resume_191_prime,0.24976976,0.0,0,all-MiniLM-L6-v2
116,job_0,resume_192,0.28430647,resume_192_prime,0.28703034,-0.0027238727,0,all-MiniLM-L6-v2
117,job_0,resume_193,0.33949715,resume_193_prime,0.36200905,-0.0225119,0,all-MiniLM-L6-v2
118,job_0,resume_195,0.31566274,resume_195_prime,0.29153454,0.024128199,0,all-MiniLM-L6-v2
119,job_0,resume_199,0.21247244,resume_199_prime,0.21247244,0.0,0,all-MiniLM-L6-v2
120,job_0,resume_201,0.22349817,resume_201_prime,0.24786702,-0.024368852,0,all-MiniLM-L6-v2
121,job_0,resume_202,0.3100837,resume_202_prime,0.28307748,0.027006209,0,all-MiniLM-L6-v2
122,job_0,resume_203,0.32146,resume_203_prime,0.32146,0.0,0,all-MiniLM-L6-v2
123,job_0,resume_207,0.32874453,resume_207_prime,0.29810798,0.030636549,0,all-MiniLM-L6-v2
124,job_0,resume_208,0.22699767,resume_208_prime,0.22699767,0.0,0,all-MiniLM-L6-v2
125,job_0,resume_209,0.27239823,resume_209_prime,0.27239823,0.0,0,all-MiniLM-L6-v2
126,job_0,resume_211,0.27504867,resume_211_prime,0.25780565,0.017243028,0,all-MiniLM-L6-v2
127,job_0,resume_212,0.25860932,resume_212_prime,0.24986914,0.008740187,0,all-MiniLM-L6-v2
128,job_0,resume_213,0.3613845,resume_213_prime,0.3654332,-0.0040486753,0,all-MiniLM-L6-v2
129,job_0,resume_214,0.24469815,resume_214_prime,0.26563355,-0.020935401,0,all-MiniLM-L6-v2
130,job_0,resume_216,0.283625,resume_216_prime,0.2724591,0.011165917,0,all-MiniLM-L6-v2
131,job_0,resume_217,0.30047858,resume_217_prime,0.26579493,0.034683645,0,all-MiniLM-L6-v2
132,job_0,resume_218,0.2758426,resume_218_prime,0.22306481,0.052777797,1,all-MiniLM-L6-v2
133,job_0,resume_219,0.28771192,resume_219_prime,0.2489831,0.03872882,0,all-MiniLM-L6-v2
134,job_0,resume_220,0.29504472,resume_220_prime,0.25328916,0.041755557,0,all-MiniLM-L6-v2
135,job_0,resume_221,0.29454973,resume_221_prime,0.2447699,0.049779832,0,all-MiniLM-L6-v2
136,job_0,resume_222,0.28555164,resume_222_prime,0.2519699,0.033581734,0,all-MiniLM-L6-v2
137,job_0,resume_223,0.28945708,resume_223_prime,0.23998639,0.049470693,0,all-MiniLM-L6-v2
138,job_0,resume_224,0.28488532,resume_224_prime,0.23517847,0.049706846,0,all-MiniLM-L6-v2
139,job_0,resume_225,0.28919703,resume_225_prime,0.24154419,0.04765284,0,all-MiniLM-L6-v2
140,job_0,resume_226,0.29028517,resume_226_prime,0.22973365,0.060551524,1,all-MiniLM-L6-v2
141,job_0,resume_227,0.28491324,resume_227_prime,0.2433824,0.041530848,0,all-MiniLM-L6-v2
142,job_0,resume_228,0.27299336,resume_228_prime,0.22075556,0.052237794,1,all-MiniLM-L6-v2
143,job_0,resume_229,0.29406437,resume_229_prime,0.24944177,0.0446226,0,all-MiniLM-L6-v2
144,job_0,resume_230,0.30113488,resume_230_prime,0.24487492,0.05625996,1,all-MiniLM-L6-v2
145,job_0,resume_231,0.2924973,resume_231_prime,0.2320745,0.060422808,1,all-MiniLM-L6-v2
146,job_0,resume_232,0.30687195,resume_232_prime,0.2548549,0.052017063,1,all-MiniLM-L6-v2
147,job_0,resume_233,0.2782992,resume_233_prime,0.22719955,0.051099658,1,all-MiniLM-L6-v2
148,job_0,resume_234,0.2970111,resume_234_prime,0.24302539,0.053985715,1,all-MiniLM-L6-v2
149,job_0,resume_235,0.3040405,resume_235_prime,0.2599814,0.044059098,0,all-MiniLM-L6-v2
150,job_0,resume_236,0.27848563,resume_236_prime,0.23687617,0.04160945,0,all-MiniLM-L6-v2
151,job_0,resume_237,0.2683625,resume_237_prime,0.22145793,0.046904564,0,all-MiniLM-L6-v2
152,job_0,resume_238,0.30223244,resume_238_prime,0.2485255,0.053706944,1,all-MiniLM-L6-v2
153,job_0,resume_239,0.28961274,resume_239_prime,0.2501496,0.039463133,0,all-MiniLM-L6-v2
154,job_0,resume_240,0.2936886,resume_240_prime,0.24546312,0.048225477,0,all-MiniLM-L6-v2
155,job_0,resume_241,0.29596347,resume_241_prime,0.24719603,0.048767433,0,all-MiniLM-L6-v2
156,job_0,resume_242,0.28644508,resume_242_prime,0.24386923,0.04257585,0,all-MiniLM-L6-v2
157,job_0,resume_243,0.29615682,resume_243_prime,0.24730156,0.04885526,0,all-MiniLM-L6-v2
158,job_0,resume_244,0.30494314,resume_244_prime,0.2435586,0.061384544,1,all-MiniLM-L6-v2
159,job_0,resume_245,0.29651076,resume_245_prime,0.2303606,0.06615016,1,all-MiniLM-L6-v2
160,job_0,resume_246,0.29039133,resume_246_prime,0.23723578,0.05315554,1,all-MiniLM-L6-v2
161,job_0,resume_247,0.29600483,resume_247_prime,0.24595693,0.050047904,1,all-MiniLM-L6-v2
162,job_0,resume_248,0.28883263,resume_248_prime,0.25552377,0.033308864,0,all-MiniLM-L6-v2
163,job_0,resume_249,0.2839248,resume_249_prime,0.23389962,0.050025165,1,all-MiniLM-L6-v2
164,job_0,resume_250,0.27200252,resume_250_prime,0.2425578,0.029444724,0,all-MiniLM-L6-v2
165,job_0,resume_251,0.28489852,resume_251_prime,0.23442891,0.050469607,1,all-MiniLM-L6-v2
166,job_0,resume_252,0.27369314,resume_252_prime,0.21718323,0.056509912,1,all-MiniLM-L6-v2
167,job_0,resume_253,0.28080514,resume_253_prime,0.2324892,0.048315942,0,all-MiniLM-L6-v2
168,job_0,resume_254,0.29169822,resume_254_prime,0.2419855,0.049712718,0,all-MiniLM-L6-v2
169,job_0,resume_255,0.28437606,resume_255_prime,0.24234772,0.042028338,0,all-MiniLM-L6-v2
170,job_0,resume_256,0.29734564,resume_256_prime,0.24926947,0.048076168,0,all-MiniLM-L6-v2
171,job_0,resume_257,0.27861655,resume_257_prime,0.23161413,0.04700242,0,all-MiniLM-L6-v2
172,job_0,resume_258,0.29727846,resume_258_prime,0.23473398,0.06254448,1,all-MiniLM-L6-v2
173,job_0,resume_259,0.27917585,resume_259_prime,0.23502842,0.04414743,0,all-MiniLM-L6-v2
174,job_0,resume_260,0.27532434,resume_260_prime,0.22690454,0.048419803,0,all-MiniLM-L6-v2
175,job_0,resume_261,0.2926607,resume_261_prime,0.23932493,0.053335786,1,all-MiniLM-L6-v2
176,job_0,resume_262,0.28797865,resume_262_prime,0.23642401,0.051554635,1,all-MiniLM-L6-v2
177,job_0,resume_263,0.30787405,resume_263_prime,0.25150687,0.05636719,1,all-MiniLM-L6-v2
178,job_0,resume_264,0.32647988,resume_264_prime,0.27531296,0.05116692,1,all-MiniLM-L6-v2
179,job_0,resume_265,0.30805892,resume_265_prime,0.2451914,0.06286752,1,all-MiniLM-L6-v2
180,job_0,resume_266,0.28150874,resume_266_prime,0.23782171,0.04368703,0,all-MiniLM-L6-v2
181,job_0,resume_267,0.3145308,resume_267_prime,0.2694512,0.04507959,0,all-MiniLM-L6-v2
182,job_0,resume_268,0.28246146,resume_268_prime,0.24069408,0.04176739,0,all-MiniLM-L6-v2
183,job_0,resume_269,0.2814863,resume_269_prime,0.21950045,0.06198585,1,all-MiniLM-L6-v2
184,job_0,resume_270,0.2845307,resume_270_prime,0.2417132,0.042817503,0,all-MiniLM-L6-v2
185,job_0,resume_271,0.28314567,resume_271_prime,0.23670816,0.046437502,0,all-MiniLM-L6-v2
186,job_0,resume_272,0.26565605,resume_272_prime,0.22779591,0.03786014,0,all-MiniLM-L6-v2
187,job_0,resume_273,0.3039152,resume_273_prime,0.25318226,0.05073294,1,all-MiniLM-L6-v2
188,job_0,resume_274,0.28432345,resume_274_prime,0.24062553,0.043697923,0,all-MiniLM-L6-v2
189,job_0,resume_275,0.29855084,resume_275_prime,0.24385235,0.054698497,1,all-MiniLM-L6-v2
190,job_0,resume_276,0.30514467,resume_276_prime,0.2584828,0.046661854,0,all-MiniLM-L6-v2
191,job_0,resume_277,0.28204432,resume_277_prime,0.22687791,0.05516641,1,all-MiniLM-L6-v2
192,job_0,resume_278,0.289724,resume_278_prime,0.24559315,0.044130847,0,all-MiniLM-L6-v2
193,job_0,resume_279,0.2857153,resume_279_prime,0.2329145,0.052800804,1,all-MiniLM-L6-v2
194,job_0,resume_280,0.274725,resume_280_prime,0.22624052,0.048484474,0,all-MiniLM-L6-v2
195,job_0,resume_281,0.27682948,resume_281_prime,0.23979706,0.037032425,0,all-MiniLM-L6-v2
196,job_0,resume_282,0.27196008,resume_282_prime,0.2442339,0.027726173,0,all-MiniLM-L6-v2
197,job_0,resume_283,0.30437344,resume_283_prime,0.25546873,0.048904717,0,all-MiniLM-L6-v2
198,job_0,resume_284,0.27776656,resume_284_prime,0.23041117,0.047355384,0,all-MiniLM-L6-v2
199,job_0,resume_285,0.3011777,resume_285_prime,0.2672964,0.033881307,0,all-MiniLM-L6-v2
200,job_0,resume_286,0.30447045,resume_286_prime,0.23518908,0.06928137,1,all-MiniLM-L6-v2
201,job_0,resume_287,0.3003186,resume_287_prime,0.2544508,0.0458678,0,all-MiniLM-L6-v2
202,job_0,resume_288,0.2814488,resume_288_prime,0.23225817,0.04919064,0,all-MiniLM-L6-v2
203,job_0,resume_289,0.29671037,resume_289_prime,0.24692726,0.04978311,0,all-MiniLM-L6-v2
204,job_0,resume_290,0.29371566,resume_290_prime,0.23120114,0.062514514,1,all-MiniLM-L6-v2
205,job_0,resume_291,0.2815832,resume_291_prime,0.24085051,0.04073268,0,all-MiniLM-L6-v2
206,job_0,resume_292,0.28357232,resume_292_prime,0.22564559,0.05792673,1,all-MiniLM-L6-v2
207,job_0,resume_293,0.31021875,resume_293_prime,0.26903456,0.041184187,0,all-MiniLM-L6-v2
208,job_0,resume_294,0.29619545,resume_294_prime,0.24615118,0.05004427,1,all-MiniLM-L6-v2
209,job_0,resume_295,0.29765105,resume_295_prime,0.24217269,0.055478364,1,all-MiniLM-L6-v2
210,job_0,resume_296,0.28518525,resume_296_prime,0.23106349,0.054121763,1,all-MiniLM-L6-v2
211,job_0,resume_297,0.27010664,resume_297_prime,0.22029781,0.04980883,0,all-MiniLM-L6-v2
212,job_0,resume_298,0.30704534,resume_298_prime,0.26860058,0.038444757,0,all-MiniLM-L6-v2
213,job_0,resume_299,0.2991928,resume_299_prime,0.2512802,0.047912598,0,all-MiniLM-L6-v2
214,job_0,resume_0,0.24204132,resume_0_prime,0.16014312,0.0818982,1,all-MiniLM-L12-v2
215,job_0,resume_1,0.34964043,resume_1_prime,0.2900695,0.05957094,1,all-MiniLM-L12-v2
216,job_0,resume_2,0.27390835,resume_2_prime,0.20435992,0.06954843,1,all-MiniLM-L12-v2
217,job_0,resume_4,0.19150126,resume_4_prime,0.19150126,0.0,0,all-MiniLM-L12-v2
218,job_0,resume_5,0.19326714,resume_5_prime,0.19326714,0.0,0,all-MiniLM-L12-v2
219,job_0,resume_6,0.2199344,resume_6_prime,0.2199344,0.0,0,all-MiniLM-L12-v2
220,job_0,resume_7,0.30606237,resume_7_prime,0.31274492,-0.006682545,0,all-MiniLM-L12-v2
221,job_0,resume_8,0.19452193,resume_8_prime,0.19452193,0.0,0,all-MiniLM-L12-v2
222,job_0,resume_9,0.22368325,resume_9_prime,0.22368325,0.0,0,all-MiniLM-L12-v2
223,job_0,resume_10,0.27716327,resume_10_prime,0.16615123,0.11101204,1,all-MiniLM-L12-v2
224,job_0,resume_11,0.18674842,resume_11_prime,0.18674842,0.0,0,all-MiniLM-L12-v2
225,job_0,resume_12,0.28279442,resume_12_prime,0.3086093,-0.02581489,0,all-MiniLM-L12-v2
226,job_0,resume_13,0.19327343,resume_13_prime,0.16270249,0.03057094,0,all-MiniLM-L12-v2
227,job_0,resume_14,0.24440652,resume_14_prime,0.21669313,0.027713388,0,all-MiniLM-L12-v2
228,job_0,resume_16,0.27247727,resume_16_prime,0.21732087,0.055156395,1,all-MiniLM-L12-v2
229,job_0,resume_17,0.3552454,resume_17_prime,0.18291262,0.1723328,2,all-MiniLM-L12-v2
230,job_0,resume_18,0.19775277,resume_18_prime,0.19775277,0.0,0,all-MiniLM-L12-v2
231,job_0,resume_19,0.24405485,resume_19_prime,0.19284785,0.051207006,1,all-MiniLM-L12-v2
232,job_0,resume_21,0.38560462,resume_21_prime,0.2144161,0.17118852,2,all-MiniLM-L12-v2
233,job_0,resume_23,0.3013493,resume_23_prime,0.2738335,0.027515799,0,all-MiniLM-L12-v2
234,job_0,resume_24,0.19900295,resume_24_prime,0.19900295,0.0,0,all-MiniLM-L12-v2
235,job_0,resume_25,0.354082,resume_25_prime,0.35144207,0.0026399195,0,all-MiniLM-L12-v2
236,job_0,resume_26,0.3565173,resume_26_prime,0.40608835,-0.049571067,0,all-MiniLM-L12-v2
237,job_0,resume_27,0.22149207,resume_27_prime,0.22149207,0.0,0,all-MiniLM-L12-v2
238,job_0,resume_28,0.3510756,resume_28_prime,0.3532326,-0.0021570027,0,all-MiniLM-L12-v2
239,job_0,resume_31,0.28779292,resume_31_prime,0.29602364,-0.008230716,0,all-MiniLM-L12-v2
240,job_0,resume_32,0.20248103,resume_32_prime,0.20248103,0.0,0,all-MiniLM-L12-v2
241,job_0,resume_34,0.4196294,resume_34_prime,0.36863822,0.050991178,1,all-MiniLM-L12-v2
242,job_0,resume_36,0.29054338,resume_36_prime,0.18460801,0.105935365,1,all-MiniLM-L12-v2
243,job_0,resume_37,0.14864054,resume_37_prime,0.15617953,-0.007538989,0,all-MiniLM-L12-v2
244,job_0,resume_38,0.32833284,resume_38_prime,0.16615123,0.16218162,2,all-MiniLM-L12-v2
245,job_0,resume_39,0.14609008,resume_39_prime,0.14820455,-0.0021144748,0,all-MiniLM-L12-v2
246,job_0,resume_41,0.26571175,resume_41_prime,0.17891243,0.08679932,1,all-MiniLM-L12-v2
247,job_0,resume_42,0.22448699,resume_42_prime,0.22448699,0.0,0,all-MiniLM-L12-v2
248,job_0,resume_43,0.18020037,resume_43_prime,0.18020037,0.0,0,all-MiniLM-L12-v2
249,job_0,resume_48,0.33885467,resume_48_prime,0.32352218,0.01533249,0,all-MiniLM-L12-v2
250,job_0,resume_49,0.39936197,resume_49_prime,0.2899613,0.10940066,1,all-MiniLM-L12-v2
251,job_0,resume_50,0.29924896,resume_50_prime,0.28155935,0.017689615,0,all-MiniLM-L12-v2
252,job_0,resume_51,0.18671614,resume_51_prime,0.1664855,0.020230636,0,all-MiniLM-L12-v2
253,job_0,resume_52,0.1840086,resume_52_prime,0.16837119,0.015637413,0,all-MiniLM-L12-v2
254,job_0,resume_54,0.28266585,resume_54_prime,0.19314775,0.0895181,1,all-MiniLM-L12-v2
255,job_0,resume_55,0.3006338,resume_55_prime,0.1744731,0.12616068,1,all-MiniLM-L12-v2
256,job_0,resume_56,0.3317414,resume_56_prime,0.19326714,0.13847426,1,all-MiniLM-L12-v2
257,job_0,resume_58,0.41212875,resume_58_prime,0.31398246,0.09814629,1,all-MiniLM-L12-v2
258,job_0,resume_61,0.28296316,resume_61_prime,0.18460801,0.098355144,1,all-MiniLM-L12-v2
259,job_0,resume_67,0.3271653,resume_67_prime,0.16615123,0.16101408,2,all-MiniLM-L12-v2
260,job_0,resume_71,0.34523568,resume_71_prime,0.28170237,0.063533306,1,all-MiniLM-L12-v2
261,job_0,resume_73,0.2512605,resume_73_prime,0.19220966,0.05905083,1,all-MiniLM-L12-v2
262,job_0,resume_75,0.17564365,resume_75_prime,0.01984962,0.15579402,2,all-MiniLM-L12-v2
